date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202114,female,partially_vaccinated,1,32,239371,0.42,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,female,not_vaccinated,11,174,3754086,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,female,unknown,8,250,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,male,fully_vaccinated,0,5,301511,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,male,partially_vaccinated,2,33,202461,0.99,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,male,not_vaccinated,23,232,3817995,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,male,unknown,16,275,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,unknown,fully_vaccinated,0,0,81,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,unknown,partially_vaccinated,0,0,109,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202114,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,female,fully_vaccinated,2,10,440020,0.45,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,female,partially_vaccinated,1,33,305359,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,female,not_vaccinated,6,180,3642009,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,female,unknown,10,260,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,male,fully_vaccinated,1,6,340018,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,male,partially_vaccinated,2,35,261961,0.76,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,male,not_vaccinated,15,247,3719988,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,male,unknown,9,284,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,unknown,fully_vaccinated,0,0,126,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,unknown,partially_vaccinated,0,0,105,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202115,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,female,fully_vaccinated,2,12,499016,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,female,partially_vaccinated,0,33,382223,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,female,not_vaccinated,12,192,3506149,0.34,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,female,unknown,6,266,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,male,fully_vaccinated,3,9,390664,0.77,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,male,partially_vaccinated,0,35,332518,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,male,not_vaccinated,19,266,3598785,0.53,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,male,unknown,13,297,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202116,unknown,fully_vaccinated,0,0,140,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-16_07-53-19,TRUE
