date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-13,moderna,fully_vaccinated,0,1,633449,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-14,moderna,fully_vaccinated,0,1,653156,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-15,moderna,fully_vaccinated,0,1,662377,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-16,moderna,fully_vaccinated,0,1,664184,0,NA,0,0,0,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-17,moderna,fully_vaccinated,0,1,683813,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-18,moderna,fully_vaccinated,0,1,707899,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-19,moderna,fully_vaccinated,0,1,731191,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-20,moderna,fully_vaccinated,0,1,760131,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-21,moderna,fully_vaccinated,0,1,784833,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-22,moderna,fully_vaccinated,0,1,796307,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-23,moderna,fully_vaccinated,0,1,800774,0,NA,0,0,0,1.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-24,moderna,fully_vaccinated,0,1,809317,0,NA,0,0,NA,1.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-25,moderna,fully_vaccinated,0,1,834342,0,NA,0,0,0,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-26,moderna,fully_vaccinated,0,1,860615,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-27,moderna,fully_vaccinated,0,1,889089,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-28,moderna,fully_vaccinated,0,1,919461,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-29,moderna,fully_vaccinated,1,2,935389,0.11,NA,0.29,0.03,100,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-30,moderna,fully_vaccinated,0,2,941292,0,NA,0.29,0.03,NA,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-05-31,moderna,fully_vaccinated,0,2,965018,0,NA,0.29,0.03,NA,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-01,moderna,fully_vaccinated,1,3,993823,0.1,NA,0.29,0.03,100,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-02,moderna,fully_vaccinated,0,3,1026279,0,NA,0.14,0.01,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-03,moderna,fully_vaccinated,0,3,1058205,0,NA,0.29,0.03,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-04,moderna,fully_vaccinated,0,3,1096049,0,NA,0.29,0.03,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-05,moderna,fully_vaccinated,0,3,1114289,0,NA,0.14,0.01,0,3,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-06,moderna,fully_vaccinated,1,4,1122232,0.09,NA,0.14,0.01,100,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-07,moderna,fully_vaccinated,0,4,1156827,0,NA,0.14,0.01,NA,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-08,moderna,fully_vaccinated,0,4,1197108,0,NA,0.14,0.01,NA,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-09,moderna,fully_vaccinated,0,4,1235919,0,NA,0.14,0.01,0,3.92,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-10,moderna,fully_vaccinated,0,4,1267653,0,NA,0,0,NA,3.92,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-11,moderna,fully_vaccinated,0,4,1303535,0,NA,0,0,0,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-12,moderna,fully_vaccinated,0,4,1324156,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-13,moderna,fully_vaccinated,0,4,1334249,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-14,moderna,fully_vaccinated,0,4,1368270,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-15,moderna,fully_vaccinated,0,4,1409480,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-16,moderna,fully_vaccinated,0,4,1454246,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-17,moderna,fully_vaccinated,0,4,1501460,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
2021-06-18,moderna,fully_vaccinated,0,4,1547061,0,NA,0,0,NA,3.88,NA,CHFL,COVID19Death,vaccine,limited,2021-12-16_07-53-19
