date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202106,70 - 79,fully_vaccinated,1,1,24321,4.11,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,70 - 79,partially_vaccinated,0,3,100460,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,70 - 79,not_vaccinated,22,58,615132,3.58,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,70 - 79,unknown,46,165,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,80+,fully_vaccinated,2,2,41978,4.76,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,80+,partially_vaccinated,2,8,139665,1.43,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,80+,not_vaccinated,39,92,278255,14.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,80+,unknown,70,262,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202106,Unbekannt,unknown,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
202107,0 - 9,fully_vaccinated,0,0,17,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-12-16_07-53-19,TRUE
